URL's successfully downloaded,Size of the downloaded file,Number of Outlinks,Content-Type,,,
https://cinema.usc.edu/production/faculty.cfm,52420,132,text/html,,,
https://cinema.usc.edu/https://cinema.usc.edu/directories/staff.cfm?did=50&first&last&referer=%2Fdirectories%2Fstaff.cfm&startPage=1&startRow=31&title,58122,123,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=24338&last&referer=%2Fdirectories%2Fstaff.cfm&startpage=1&startrow=1&title,18593,70,text/html,,,
https://cinema.usc.edu/directories/staff.cfm?did=50&first&last&referer=%2Fdirectories%2Fstaff.cfm&startRow=61&title,57232,122,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=37770&last&referer=%2Fdirectories%2Fstaff.cfm&startpage=1&startrow=1&title,17962,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6681&last&referer=%2Fdirectories%2Fstaff.cfm&startpage=1&startrow=1&title,18441,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=55&last&referer=%2Fdirectories%2Fstaff.cfm&startpage=1&startrow=1&title,21480,70,text/html,,,
https://cinema.usc.edu/festivals/sundance/sundance2013.cfm,28262,87,text/html,,,
https://cinema.usc.edu/festivals/firstlook/index.cfm,26723,89,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2014/firstfilm2014/index.cfm,34473,94,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2014/index.cfm,26752,90,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2013/firstframe2013/index.cfm,67832,106,text/html,,,
https://cinema.usc.edu/festivals/sundance/sundance2015.cfm,31631,87,text/html,,,
https://cinema.usc.edu/festivals/sundance/sundance2014.cfm,29509,87,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2015/firstfilm2015/index.cfm,34359,95,text/html,,,
https://cinema.usc.edu/festivals/index.cfm,24794,88,text/html,,,
https://cinema.usc.edu/festivals/firstlook/firstlook2014/firstframe2014/index.cfm,68635,109,text/html,,,
